"","date","party","state","text","before_after"
"236",2010-12-22,"D","IL","that she was a lesbian.","before"
"237",2011-03-02,"D","IL","if we can eliminate unemployment just like as a nation we are trying to eliminate discrimination against women and against the disabled and against the gays and lesbians of our nation.","before"
"238",2011-03-30,"D","IL","and many states have moved towards marriage equality for gays and lesbians.","before"
"239",2011-04-07,"D","IL","if you believe in gay marriage.","before"
"240",2011-06-06,"D","IL","the burden of hiv/aids continues to be disproportionately borne by gay and bisexual men and african americans and latinos.","before"
"241",2011-06-16,"D","IL","participating and supporting the lesbian. gay. bisexual. and transgender community is a way of life. it has evolved into a monthlong celebration of the lgbt community.","before"
"242",2011-08-01,"D","IL","for gays and lesbians ring from stone mountain of georgia. gays and straights.","before"
"243",2011-12-01,"D","IL","the burden of the disease in america continues to be disproportionately borne by gay and bisexual men and people of color.","before"
"244",2011-12-07,"D","IL","to hear from legal experts and gay and lesbian couples about the realworld harm caused by doma.","before"
"245",2011-12-12,"D","IL","and listen to this one: this objectionnew oneby senator demint stems from an editorial the ambassador wrote in a popular el salvadoran newspaper in june about lesbian. gay. bisexual. and transgender pride month. el salvador reaffirmed its national commitment to equality again last june when it joined the united states and more than 80 other nations in signing the declaration for the elimination of violence against the lesbian. gay. bisexual. and transgender community during the human rights council of the united nations.","before"
"246",2012-03-29,"D","IL","the first openly gay minister in germany. president lukashenko said: it is better to be a dictator than gay.","before"
"247",2012-04-17,"D","IL","i rise today to congratulate center on halsted on its 5year anniversary of building and strengthening the lesbian. gay. bisexual. and transgender community in chicago. i was proud to join residents from my district and across illinois on the corner of halsted and waveland as chicagos first permanent lgbt community center opened its doors. center on halsted has become the midwests largest lgbt community center and a model for similar organizations across our nation. welcoming the lgbt community and making our entire community a better place.","before"
"248",2012-05-16,"D","IL","members of the lgbt community. strive as you might to avoid trying to protect lgbt victims. according to a recent survey of service providers who work with lgbt victims. gay men are not turned away from shelters because theyre men. have a progay vote on it. and lgbt victims of domestic violence.","before"
"249",2012-05-16,"R","IL","they strongly support provisions that would clarify equal treatment for lgbt individuals. and clarified that lgbt individuals can be served by vawa. they strongly support provisions that would clarify equal treatment for lgbt individuals. and clarified that lgbt individuals can be served by vawa programs in all states.","before"
"250",2012-07-12,"D","IL","some gay veterans and other mainers hosted a reception to thank senator collins for her courageous cosponsorship. of the bill to allow gay men and lesbians to serve openly in americas armed forces.","before"
"251",2012-12-13,"D","IL","and gay and lesbian groups protested sister sheilas appointment strongly. she created special programs to reach minority and immigrant families and established an office of lesbian and gay health.","before"
"252",2013-02-07,"D","IL","the reauthorization also ensures that lesbian. gay. bisexual. and transgender communities are not discriminated against when it comes to these services.","before"
"253",2013-02-14,"D","IL","the five illinoisans we lost that day were: gayle dubowski.","before"
"254",2013-02-28,"D","IL","the republicans have advanced legislation that not only excludes additional protections for battered immigrant women and battered tribal women and battered gay women. and lesbian. gay. bisexual. and transgender victims?","before"
"255",2013-04-11,"D","IL","wisconsin senator gaylord nelson.","before"
"256",2013-06-18,"D","IL","i have advocated for lgbt rights from my days as a chicago alderman.","before"
"257",2013-06-26,"D","IL","ive had the pleasure of working with the hawks to expand hockey access to atrisk and lgbt youth.","before"
"258",2013-06-27,"D","IL","and unfairness wherever and whenever i saw it and that i had fought in chicago to pass a groundbreaking ordinance on lgbt equality in the 1980s.","before"
"259",2013-07-17,"D","IL","one isnt born thinking gay people should be treated differently than straight people.","before"
"260",2013-10-01,"D","IL","this is from gayle weiss.","before"
"261",2013-11-04,"D","IL","if we ask most americans this very basic question: is it legal to discriminate against someone because they are gayto say i wont hire you. as many as 48 percent of lesbian. gay. or bisexual americans and 59 percent of transgender americans have no legal protection against discrimination in the workplace. lesbian. gay. and bisexual americans have no legal protection. transgender americans have no protection. between 15 percent and 43 percent of lgbt people have experienced discrimination or harassment in the workplace as a result of their sexual orientation. twentysix percent of transgender people report having been fired from a job because of gender identity.","before"
"262",2014-01-14,"D","IL","or even whether lgbt families will be torn apart.","after"
"263",2014-01-15,"D","IL","but it is equally appropriate to honor him by ending what is still legal discrimination in this countrydiscrimination against the lesbian. gay. bisexual. and transgender communitybecause denying civil rights to someone based on a persons orientation is equally inherently wrong. every day that we continue allowing discrimination against the lgbt community is another day that justice is delayed. we can end workplace discrimination against gay men and women today. when will this body step up and defend the rights of the lgbt community?","after"
"264",2014-01-16,"D","IL","colleen gaydos.","after"
"265",2014-03-31,"D","IL","alan was an early leader in congress among staff to end workplace discrimination against lesbian and gay congressional staffers. he was an early board member of what was then called lesbian and gay congressional staffers association. the association held frequent brownbag lunches to brief other staffers on issues of importance to lesbian and gay americans.","after"
"266",2014-06-17,"D","IL","never before in the course of the history of our state has there been an article iii federal judge who was openly a member of the lgbt community.","after"
"267",2014-06-25,"D","IL","it is my great pleasure to rise today in celebration of lgbt pride month because this year my friends in the lesbian. gay. bisexual. and transgender community have more to celebrate than ever. but for decades the struggle for lgbt equality seemed like a distant dream. a series of police actions against the gay community sparked the stonewall riots. one of the most pivotal moments in the fight for lgbt equality. bringing lgbt americans together with allies to fight for the rights they deserve but are too often denied. it seems like almost every other month a new state is reaffirming the rights of its gay and lesbian citizens to marry whom they love. gay and lesbian americans have achieved marriage equality in 18 states and the district of columbia. now lgbt couples are able to file taxes jointly and take advantage of tax breaks that were once limited to heterosexual couples. and recommit to the work that lies ahead to reach full lgbt equality. a day in which lgbt americans are allowed to visit their loved ones in the hospital and have access to every federal benefit that is available to all other americans. a day in which we ensure lgbt youth are protected from harassment and bullying. and a day in which healthy gay and bisexual men are no longer barred from donating lifesaving blood to patients in need.","after"
"268",2014-07-10,"D","IL","i rise today in strong support of the national gay blood drive. because i know that being gay does not implicitly make someone an unsafe blood donor. our current fda policy paints all gay and bisexual men with the same brush. at national gay blood drives in 61 cities across our country. gay and bisexual men will stand with straight allies to call for an end to this discriminatory policy. we can no longer treat gay and bisexual men as secondclass citizens or turn away healthy wouldbe donors who could be providing lifesaving blood. i urge all my colleagues to support the national gay blood drive and help america move one step closer to true equality for all.","after"
"269",2014-11-13,"D","IL","an early supporter for full civil rights for gays in the military.","after"
"270",2014-11-18,"D","IL","when republicans in the senate said gay people cant be included under any circumstances.","after"
"271",2014-12-10,"D","IL","she was an advocate of womens rights and gay rights.","after"
"272",2015-03-16,"D","IL","labor rights and gay rights too.","after"
"273",2015-03-25,"R","IL","david gay from illinois.","after"
"274",2015-04-22,"D","IL","this cornyn amendment excludes language that prohibits discrimination against lgbt youth. up to forty percent of the overall homeless youth population identify as lgbt.","after"
"275",2015-05-20,"D","IL","lincoln national cemetery will become home to the nations first monument honoring fallen lesbian. gay. bisexual. and transgender. lgbt. a recognition of our fallen lgbt service members is long overdue. this monument recognizes that service with a fitting dedication that reads: gay. lesbian. bisexual and transgender people have served honorably and admirably in americas armed forces.","after"
"276",2015-07-15,"D","IL","the lgbt voters.","after"
"277",2015-09-09,"D","IL","lgbt.","after"
"278",2015-09-29,"D","IL","is a professional named gayle smith. gayle smith has been waiting for weeks.","after"
"279",2015-10-08,"D","IL","lgbt equality. before gays and lesbians dared come out of the closet. republicans run for office and legislate as if they want gay people back in the closet.","after"
"280",2015-10-20,"D","IL","gayle smith.","after"
"281",2015-10-21,"D","IL","if donald trump had said gays and lesbians were murderers and raping americans.","after"
"282",2015-10-27,"D","IL","a lot of people in the lgbt community get motivated to register and vote.","after"
"283",2015-10-28,"D","IL","as lgbt history month draws to a close. i rise today to recognize chicago lgbt activist henry gerber. it was the first chartered gay rights organization in the united states. and from there he published the firstknown gay interest periodical in the u.s.","after"
"284",2015-11-04,"D","IL","take the entire gay community and write them off.","after"
"285",2016-02-24,"D","IL","straight and gay. straight people and lgbt.","after"
"286",2016-04-28,"D","IL","and lesbian and gay bar association of chicago.","after"
"287",2016-06-13,"D","IL","but we know that this was an act of terror and that it was an act of hate directed at the lgbt community. i express my support and solidarity with the lgbt community in orlando and throughout the nation. the lgbt movement has come a long way in protecting americans right to love the person they love. we must not lose our pride in what the lgbt movement has accomplished. we must stand in solidarity with our fellow lgbt americans who will not let the hate of a few overcome the love of an entire community. we stand in support of the lgbt communitythe latest target of this terrorist attack. a representative of equality florida recognized the unity between the lgbt and muslim communities. we will stand with the lgbtq community and value their lives.","after"
"288",2016-06-14,"R","IL","the hateful terrorist attack targeting americas lgbt community in orlando is another reminder to come together and work across party lines to root out terrorism.","after"
"289",2016-06-15,"D","IL","a 29yearold gunman slaughtered 49 people at a gay nightclub in orlando.","after"
"290",2016-06-22,"D","IL","lgbt.","after"
"291",2016-07-12,"D","IL","a hateful act on the lgbt community that took the lives of 49 people.","after"
"292",1981-02-06,"R","IA","it was a painful sound fiscal policy to the federal gay- decision.","before"
"293",1981-05-19,"D","IA","i wonder how many people who have been criticizing what is going on over there really have ever been to lingayen.","before"
"294",1981-06-17,"R","IA","to homosexual and lesbian couples who want to adopt children.","before"
"295",1981-06-18,"R","IA","gay rights is a subject all too prone to emotive rather than reasoned debate. an important consideration of the gay issue in a legal services context is the lawyers professional obligation. such as the gay population.","before"
"296",1982-07-29,"R","IA","noel -gaylor.","before"
"297",1986-08-11,"D","IA","gaylord nelson.","before"
"298",1988-07-08,"D","IA","georgetown university continues to comply with the court order in the case of the gay rights coalition of the george. i think the organization called ""the gay people of georgetown university."" the agreement reached between that organization and the university. calling themselves ""the gay people of georgetown university."" wanted to organize themselves into a group. an agreement was reached between georgetown university and the gay people of georgetown university. i guess people will vote for it because they are perhaps somewhat loath to vote on an issue addressing the problems of homosexuals and gays. deny to a gay group the benefits that the courts have already said they can give to them and which georgetown has already acceded to.","before"
"299",1988-09-30,"D","IA","the gay rights organization. and the courtsi should say the courtsthe gay rights organization and georgetown came to an agreement and it was settled and there was no problem there.","before"
"300",1989-09-07,"D","IA","homosexuality and bisexuality are not disabilities under any medical standards.","before"
"301",1989-09-21,"D","IA","and some localitieshave limited contact tracing of selected groups such as bisexuals and heterosexuals.","before"
"302",1989-10-03,"R","IA","right now there is receiving federal funds at this time a production which explicitly portrays scenes of transvestism and implies lesbian love.","before"
"303",1989-11-07,"R","IA","""a queer mixture of east and west.","before"
"304",1991-10-16,"D","IA","308 ayes181 dingell dixon downey durbin dwyer dymally early eckart edwards (ca) engel espy evans fascell fazio feighan fish flake foglietta ford (mi) ford (tn) frank (ma) gaydos gejdenson gephardt gilman gonzalez gordon grandy green hall (oh) hatcher hayes (il) hertel horn horton houghton hoyer hughes jefferson johnson (ct) johnston jones (ga) jones (nc) jontz kanjorski kaptur kennedy kennelly kildee klug kolter kopetski kostmayer lafalce lantos larocco leach lehman (ca) lehman (fl) levin (mi) levine (ca) lewis (ga) lowey (ny) machtley manton markey martinez matsui mavroules mazzoli mcdade mcdermott mchugh mcnulty participate in the vote because of illness.","before"
"305",1992-03-24,"D","IA","virginia gay hospital in vinton.grundy county in grundy center.","before"
"306",1992-07-28,"D","IA","lieutenant thorne is gay. because i disagree with the administrations policy on gay men and lesbians in the armed services. asking him to place a moratorium on further discharges of gay service men and women. and to some 10 officers and enlisted personnel discharged each year for being gay. i know full well that neither of the bills i have cosponsored or the letter i sent to the secretary of defense will make any difference unless the president is willing to stand up for what is right--to come forward and forthrightly declare his support for fair treatment and inclusion for gay men and lesbians in our armed forces.","before"
"307",1993-01-21,"D","IA","virginia gay hospital in vinton.","before"
"308",1993-05-24,"R","IA","she would not be satisfied until the boy scouts of america allowed lesbians and gays into its ranks and scoutingleadership.","before"
"309",1995-07-27,"D","IA","some people still refer to aids as a ""gay disease."" but.","before"
"310",1996-06-10,"R","IA","somebody would gay.","before"
"311",1998-06-18,"R","IA","58 percent gay it has decreased the quality of care people receive when they are sick.","before"
"312",1998-08-05,"R","IA","if nondiscrimination precepts cannot be sanctioned for men and women who are gay and lesbian.","before"
"313",2000-12-05,"D","IA","-he also spoke passionately about ending discrimination against gay americans.","before"
"314",2001-02-01,"D","IA","hormels nomination because he hadand i quote john ashcrofts own words-""actively supported the gay lifestyle."" further.","before"
"315",2004-03-30,"R","IA","a statement was made by the gentlewoman earlier that in no other field can a person be fired for being gay. when lobbied by the gay lobby.","before"
"316",2004-04-05,"D","IA","or gay marriage.","before"
"317",2004-07-06,"R","IA","completion of gested to police that johnson was tarthis agreement will help foster -trade geted for being transgendered.","before"
"318",2004-07-21,"D","IA","days on an amendmeift to ban gay unions that everyone knew would not pass.","before"
"319",2004-07-22,"R","IA","particularly in the gay community.","before"
"320",2006-08-01,"D","IA","its just over my head here about flag desecration and about bio and beyond me how any interior senator or gay marriage.","before"
"321",2008-01-30,"D","IA","for the rights of gays and lesbians.","before"
"322",2008-09-17,"D","IA","larry pendarvis and former board members gaynell conner and laverne kriegel. business manager gayle isaac.","before"
"323",2008-09-18,"D","IA","gayle klouda.","before"
"324",2008-10-01,"D","IA","gayle trenary. ed glenn and gay murphy and former board members orbie brittain.","before"
"325",2009-04-28,"R","IA","it doesnt include bisexuality. bisexuality.","after"
"326",2009-04-29,"R","IA","""this bill only covers homosexuality and heterosexuality."" now it presumably excludes bisexuality. not bisexuality. apparently it didnt mean bisexuality.","after"
"327",2010-03-03,"R","IA","he has written a foreword in a book called queering elementary education in a favorable fashion.","after"
"328",2010-08-05,"D","IA","many of my colleagues on the other side of the aisle have come to the floor to focus on gays in the military.","after"
"329",2010-09-22,"R","IA","which is something that was implemented under president bill clinton back in the era when he wanted to put gays in the military. dont tell and recruit into the military openly gay people. dont tell that opens up access to the military for gays. if harry reid and others believe it should be repealed and we should open up the military to openly gay people.","after"
"330",2011-05-18,"R","IA","he believes bans on gay marriage are unconstitutional.","after"
"331",2012-05-10,"R","IA","to mount up gay.","after"
"332",2013-03-05,"D","IA","they are retirees and moms and members of the lgbt community.","after"
"333",2013-11-04,"D","IA","the attitudes in this country have changed dramatically about the rights of gay. lesbian. and transgender americans. 17 statesincluding my state of iowahave passed legislation that includes basic employment protections for all lgbt americans. i will use that acronym or those letters to explain lesbian. gay. bisexual. and transgender americans. that it is illegal to fire someone for being gay or for being a lesbian. that is true today for gays. lesbians. bisexual. and transgender americans. but the vast majority of americans live in states in which there is no civil rights law governing lgbt people. the majority of americansmore than 56 percentlive in states in which it is perfectly legal to fire or refuse to hire someone because of who they arelesbian. gay. bisexual. or transgender. fortytwo percent of lesbian. gay. and bisexual workers report having experienced some form of discrimination at work. a west virginia miner who suffered destruction of property and verbal harassment from coworkers because of his identity as a gay person. discrimination against transgender americans is even more common. allyson robinson also provided written testimony to the committee regarding the painful separation from her family that she endured because of financial hardships while she searched for her first job as an openly transgender female. lesbian. gay. bisexual. and transgender americans deserve the same civil rights protections as all other americans. it will say to millions of lgbt americans that they are full and welcome members of our american family and that they deserve the same civil rights protections as every other american. polls show that 67 percent of american catholics support basic workplace protections for lgbt workers. almost 70 percent in that poll of evangelical christians supports lgbt employment protections. an opportunity to work because they are gay. lesbian. bisexual or transgender. today we are taking one more step to make the american family more inclusive and once and for all ban employment discrimination against gay. lesbian. bisexual. and transgender americans. who they are or whether they are gay. lesbian. bisexual. or transgender.","after"
"334",2013-11-06,"D","IA","and disability also apply to lesbian. gay. bisexual. and transgender americans. a poll showed that 76 percent of american catholics support basic workplace protections for gay and transgender workers. and in the same poll almost 70 percent of evangelical christians support employment protections for lgbt persons. including my state of iowahave put legislation in place that includes these basic employment protections for lgbt citizens. the majority of americans56.6 percentstill live in states where it is perfectly legal to fire someone or refuse to hire them because of who they area lesbian. gay. bisexual or transgender american. fortytwo percent of lgbt workers report having experienced some form of discrimination at work. a west virginia miner who faced destruction of his property and verbal harassment from his workers because of his identity as a gay person. because she could not find a job as an openly transgender female. we have reams of records here: people fired because they were gay or lesbiannot because they could not do the job. that gay person walked down to that courthouse door. painfullysometimes too long and too painfullywe have expanded this covenant to bring more people into the american family to recognize that people should not be judged on the basis of some externalities such as the color of their skin or their sex or their religion or national origin or disability or whether they are lesbian. gay. bisexual or transgender. i am not a big fan of gay people or i may have some religious problems on that.","after"
"335",2014-06-25,"D","IA","amy gaynor.","after"
"336",2014-07-24,"R","IA","the gay rights movement."" according to the professor. speaking about justice kennedys stance on gay marriage.","after"
"337",1983-08-04,"D","ME","which are not based on ability to gay.","before"
"338",1983-10-31,"R","ME","if president mitterrand of france can gay.","before"
"339",1988-03-22,"D","ME","maine pastors have received a memorandum about ""the gay rights bill."" there is no such bill. this bill has nothing to do with gay rights.","before"
"340",1988-05-18,"D","ME","and gay communities are frequent targets.","before"
"341",1989-02-08,"D","ME","to provide faclities and services to gay student organi.","before"
"342",1989-11-21,"D","ME","postmaster gayle cory and her staff.","before"
"343",1990-10-27,"D","ME","postmaster gayle cory.","before"
"344",1991-04-25,"D","ME","2430 gaydos.","before"
"345",1992-10-08,"D","ME","postmaster gayle cory.","before"
"346",1993-01-27,"R","ME","there has been a good deal of controversy regarding gays in the military. are in the process of preparing legislation that would preserve the ban on gays in the military until it is overturned by legislation. military policy has been to exclude gays from military service. it is my firm belief that we ought not to change the policy banning gays in the military until we have explored.","before"
"347",1993-02-02,"D","ME","i inquire as tohaving noted the distinguished republican leaders statements of an intention to offer an amendment with respect to the ban on gays in the militarywhether the republican leader is prepared to indicate at this time his intentions in that regard. any senator would then be free to seek recognition and offer any amendment dealing with gays in the military as a seconddegree amendment.","before"
"348",1993-02-04,"R","ME","some say that those who support senator doles amendment are antigay. then you would also say that those who support senator nunns or senator mrrchells position are completely for gays in the military. is there a rational basis to exclude gays from the military? during the next several months of hearings i will keep an open mind about whether we can change our pollcies to accommodate gays in the milltary without undermining morale.","before"
"349",1993-03-29,"D","ME","to receive testimony on the military policy concerning the service of gay men and lesbians in the armed forces: the historical and legal background.","before"
"350",1993-05-06,"R","ME","to the gay peoples alliance. is the implication in the minds of some people that they are gay? they are associated with the gay rights movement.","before"
"351",1993-05-20,"R","ME","let me say that i am not opposed to the nominee because she is an announced lesbian.","before"
"352",1993-07-20,"D","ME","to receive testimony on the department of defense policy on the service of gay men and lesbians in the armed forces.","before"
"353",1993-11-23,"D","ME","postmaster gayle cory.","before"
"354",1994-02-11,"R","ME","students gay they are bored and that the schools do not challenge them.","before"
"355",1994-03-23,"D","ME","as well as a vibrant gay community.","before"
"356",1994-07-11,"R","ME","i must gay the way in which the debate has.","before"
"357",1994-09-22,"D","ME","a resolution regarding the apliropriate portrayal of men and women in the armed forces in the upcoming national air and space museum exhibit on the enola gay.","before"
"358",1994-10-07,"D","ME","i take this opportunity to express my appreciation for the work of gayle cory. gayle is now postmaster of the senate.","before"
"359",1996-04-25,"R","ME","gayle cory died wednesday night. gayle was a member of senator muskies staff from the very beginning of his senate career in 1959. and gayles friendship with jane muskie and the muskie children. gayle oversaw many improvements in the post office security operations. gayle cory was very special to all of us fortunate enough to know her and work with her. she did not have acquaintances* * * to meet gayle was to be her friend. few of us in this body today understand the workings of the senate as thoroughly as gayle did. my office was visited by a family from gayles hometown of bath. whose sole reason for stopping by was to inquire about gayle. gayle worked hard and successfully over the years but she never sought personal recognition for her efforts. i want to extend my deepest sympathies to gayles husband. to gayles extended family here in the senatethe staffs of former senators edmund s.","before"
"360",1996-05-03,"R","ME","i also had occasion to stand on the senate floor and offer my condolences and a brief eulogy to gayle cory.","before"
"361",1998-03-25,"R","ME","i would be hard pressed to gay that would be an unreasonable result.","before"
"362",1999-04-21,"R","ME","former senator gaylord nelson from my home state of wisconsin.","before"
"363",2002-03-22,"R","ME","or joel become a leading advocate for equal rights for gays and lesbians. those four qualities were an immense aid to joel as he championed a state law that would outlaw discrimination against maine citizens who are gay or lesbian. he led his noble fight for gay rights with courage and integrity. gayle corey. he sent notes to gayles friends thanking them for befriending her.","before"
"364",2009-05-14,"D","ME","men and straight and gay. the under a friend that married us is a gay man e gentle- who has been living in a committed gree) is and loving relationship with the same man for more than 30 years. re- posed gay marriage while supporting married.","before"
"365",2010-04-22,"R","ME","senator gaylord nelson attempted to bring attention to a degraded environment through a day dedicated to our planet.","before"
"366",2010-06-24,"R","ME","the gay island oyster company. the gay island oyster company is one of the pioneering small businesses to take advantage of this reintroduction and has helped to revolutionize maines aquaculture industry. using floating mesh bags which bring gay islands oysters to the waters surface exposing them to tidal water flows. this method ensures that gay island oysters are full and sweet with perfect salinity and consistent taste. after about a year they are moved a short distance away to an area between gay and morse islands. gay island oyster company is proud to remain a small business. gay island oyster companys efforts at responsible and sustainable oyster cultivation are a positive contribution towards a sensible use of such a precious resource. while gay island oysters are found in numerous restaurants. i congratulate tara and barrett lynde for founding gay island oysters and recapturing a lost part of maines aquaculture.","before"
"367",2010-09-21,"R","ME","i asked admiral mullen if there was any evidence at all that allowing gay and lesbian troops to serve had harmed military readiness in those countries that allow their service now. and israel allow open service by lesbian and gay troops. american taxpayers spend more than $30 million each year to train replacements for gay troops discharged under the dont ask. and the military schooling of gay troops such as pilot training and linguist training.","before"
"368",2010-12-15,"D","ME","for gay military personnel. how many more hearings and how much more testimony are we going to ask for before we finally hear what the men and women of the armed services have just said: just because someone is gay doesnt make them any less of a soldier. when they were asked about the actual experience of serving in a unit with a coworker who they believed was gay or lesbian. 92 percent of the military personnel stated that the units ability to work together was ""very good."" ""good."" or ""neither good nor poor."" when they were asked about having a servicemember in their immediate unit who said he or she was gay and how that would affect the units ability to work together to get the job done. the arguments against allowing women to serve in combat were exactly the same thing they are saying today about allowing openly gay men and women to serve. if you are gay. that tells people who are gay or lesbian that they can no longer serve in the military. i serve alongside someone who is a gay or lesbian member of the armed forces. prohibit gay and lesbian people from serving in the military.","before"
"369",2011-09-20,"R","ME","i thank the lgbt community for their outreach and support of this effort.","before"
"370",2012-09-21,"R","ME","and skilled service men and women simply because they are gay.","before"
"371",2013-02-26,"R","ME","dont tell"" policy that barred openly gay people from serving in the military.","after"
"372",2013-11-04,"R","ME","how can we in good conscience deny that right to any lgbt american who is qualified and willing to work? much of corporate america has already embraced lgbt protections. it still remains legal in 29 states to fire or to refuse to hire someone simply because he or she is lesbian. gay. or bisexual. highperforming lgbt employees can be and still are legally discriminated against. dont tell."" that policy prevented gay and lesbian servicemembers from being open about their sexual orientation.","after"
"373",2013-11-07,"R","ME","it is past time we close this gap for our lgbt employees. much of corporate america has already voluntarily embraced lgbt protections because they know that doing so helps them attract and retain the best and the brightest employees.","after"
"374",2015-03-11,"R","ME","a growing number of homeless youth identify as lgbt. and it is estimated that up to 40 percent of runaway and homeless youth are lgbt.","after"
"375",2015-04-22,"R","ME","a growing number of these homeless youth identify themselves as lgbt. it is estimated that up to 40 percent of runaway or homeless youth are lgbt.","after"
"376",2016-06-16,"D","ME","a young gay man named charlie howard was walking down the street in bangor. we have made a lot of progress on lgbt rights in maine. we are reminded that lgbt men or women can suddenly find themselves facing the same fear that charlie howard probably felt on that bridge in bangor. we must not rest until our lgbt neighbors enjoy the respect and dignity that they deserve and until they do not feel that their safety is at risk because of who they are.","after"
"377",1983-10-20,"R","MD","but let me say that one of the witnesses in our committee was admiral gayler.","before"
"378",1986-07-29,"R","MD","he grew up in baltimore near gay and federal streets. he first got into politics in the old 14th precinct of the 8th ward around north avenue and gay street in the heyday of clubhouse politics.","before"
"379",1987-10-08,"R","MD","i am pleased to participate in todays special order to welcome to washington those individuals who will be coming here for the sunday gaylesbian rights march on washington.","before"
"380",1987-10-15,"D","MD","as workers compensation or disability gaydos and the education and labor benefits.","before"
"381",1987-12-21,"D","MD","the amendment does not mean that federal funds cannot go to organizations that are based in the gay community. or that serve the gay community. over 70 percent of reported aids cases have occurred among gay men. private groups have been formed in every state and most cities that have the experience and the contacts to develop and disseminate the information that gay men need to protect themselves from aids. sexual transmission of infectious diseasesincluding aidsin the gay community has fallen dramatically in the last several years. the message for agay bar is not the message for national television.","before"
"382",1988-05-18,"R","MD","and gays and lesbians."" while noting increases in organized hate activities against all of these groups. the report calls for strategies to ""encourage legislatures to include lesbians and gays in their statutes."" on the basis of these findings.","before"
"383",1988-09-30,"D","MD","do you believe that gays ought to be discriminated against?"" and without blinking.","before"
"384",1989-10-02,"R","MD","and to express my gratitude to congressman joe gaydos and congressman bill frenzel. joe gaydos of pennsylvania.","before"
"385",1990-02-27,"R","MD","to shed some important light for gaydos] is recognized for 60 minutes. gaydos addressed the house.","before"
"386",1991-06-04,"R","MD","it was viewed as a disease primarily affecting gay men.","before"
"387",1992-05-13,"R","MD","joe gaydos and i introduced similar legislation.","before"
"388",1993-07-20,"R","MD","this week the country and the congress will be focused on gays in the military. article 8 of the constitution: ""the congress shall have the power to make rules for the government and regulation of the land and naval forces."" if the lifting the ban on gays in the military is not making a rule for government and regulations of the military. the congress clearly has the responsibility here and it will exercise that responsibility by enacting into law a policy that will maintain essentially intact in policy banning gay in the military.","before"
"389",1993-09-28,"R","MD","to determine whether or not gays and lesbians serve in the military is clearly the prerogative of the congress.","before"
"390",1994-02-01,"D","MD","antigay.","before"
"391",1994-02-23,"D","MD","but you can say what you want to about lesbians and gays."" lastly.","before"
"392",1994-08-03,"D","MD","the escambia aids service and education [ease] and the parents and friends of lesbians and gays.","before"
"393",1995-07-24,"D","MD","gayle and allison.","before"
"394",1996-09-10,"D","MD","my support for the defense of marriage act does not lessen in any way my commitment to fighting for fair treatment for gays and lesbians in the workplace.","before"
"395",1996-09-18,"R","MD","such as the space shuttle enteprise and the historic enola gay b29 bomber.","before"
"396",1998-08-05,"R","MD","this executive order 13087 simply extends to gay and lesbian employees the very same employment protections long provided to women. the executive order does not provide any special protected status to gay and lesbian employees.","before"
"397",1998-08-06,"R","MD","psychological association reports that studies comparing groups of children raised by gay and by nongay parents find no developmental differences between the two groups of children in their intelligence. lesbian and gay people are permitted to adopt when a judge finds that the adoption is in the childs best interest.","before"
"398",1998-10-15,"D","MD","hate directed at matthew because he was gay and he dared share that fact with others.","before"
"399",1999-08-05,"D","MD","gays.","before"
"400",2000-04-13,"R","MD","the gay and lesbian alliance against defamation. time editors followed up obligingly with a flurry of progay coverage.","before"
"401",2000-06-20,"D","MD","a gay university of wyoming student.","before"
"402",2001-01-31,"D","MD","yet john ashcroft opposed the nomination of james hormel to be ambassador to luxemburg simply because he is gay.","before"
"403",2001-12-20,"D","MD","gay topper.","before"
"404",2003-01-08,"D","MD","years ago the legendary singer marvin gaye had a song out called ""whats going on."" let me talk about what is going on.","before"
"405",2003-07-25,"D","MD","hats off and salutes to the commission being led by admiral gayman.","before"
"406",2003-09-05,"D","MD","there i met with youth services administrator gayle turner and her staff and i toured the facility and surrounding grounds.","before"
"407",2003-11-12,"D","MD","and we are absolutely committed to implementing the gaymin commission report so that when we go back to space.","before"
"408",2004-06-15,"D","MD","gay and lesbian americans.","before"
"409",2004-07-13,"D","MD","some of my constituents are worried that churches will be forced to perform gay marriages.","before"
"410",2004-07-22,"D","MD","i do not think my marriage or my colleagues marriages are threatened because two gay people in massachusetts want to get married. gay or otherwise.","before"
"411",2004-09-30,"D","MD","county and local governments currently provide either domestic partner benefits or civil union benefits to gays and lesbians in their jurisdictions. i believe this amendment is inconsistent with the civil rights currently enjoyed by many gays and lesbians as a result of state and local laws.","before"
"412",2005-06-09,"R","MD","here is another statement from major franz gayl.","before"
"413",2006-06-07,"D","MD","i believe that we need to recognize the rights of gays and lesbians and their families.","before"
"414",2006-07-18,"D","MD","i oppose this constitutional amendment to ban gay marriage.","before"
"415",2007-04-19,"D","MD","earth day was established by senator gaylord nelson of wisconsin and was first celebrated in 1970.","before"
"416",2007-06-25,"R","MD","i guess its an asexual way of reproducing.","before"
"417",2007-09-18,"D","MD","last frida.it was reported that the metropolitan police department here in washington is investigating a series of hate crimes targeting gay and transgender people. where reportedly a group of young men threw a 16yearold maletofemale transgender person through a plate glass window. police reports indicate that the suspect had been arrestsd twice before for similar attacks against gay men.","before"
"418",2007-10-23,"D","MD","it was done because she was a lesbian.","before"
