"","date","party","state","text"
"297",2016-07-13,"D","FL","lgbtq individuals."
"298",1981-03-03,"D","GA","gaydos."
"299",1981-12-07,"D","GA","gaylord nelson."
"300",1982-07-20,"D","GA","gaylord nelson."
"301",1983-05-12,"D","GA","gaylord nelson."
"302",1983-07-18,"R","GA","both an elected public official and gay. the issue is not whether an elected public official is gay. i doubt if any serious official in the gay rights movement would argue for the right of a schoolteacher or a person in an authoritative adult position to seduce a child."
"303",1983-07-26,"D","GA","gayle."
"304",1983-11-15,"D","GA","it does not have anything to do with homosexuality or socalled gay rights."
"305",1983-11-17,"D","GA","gaylord nelson."
"306",1984-03-01,"R","GA","you could be invited to a gay rights activist meeting. you could wear a gay rights tshirt."
"307",1984-03-05,"R","GA","they are willing to allow a gay rights meeting. and all recent court cases say that if you are the ku klux klan or the nazi party of the young communist league or the gay rights movement."
"308",1984-07-23,"R","GA","i would gay to him the overwhelming majority of wagon trains prayed."
"309",1984-07-26,"D","GA","philip hyde oberstar crockett ireland obey damours jacobs ortiz daniel jeffords ottinger darden jenkins owens daschle johnson packard daub jones (nc) panetta davis jones (ok) parris de ia garza kaptur pashayan dellums kasich patman derrick kastenmeler patterson dewine kazen paul dickinson kemp pease dicks kennelly penny dingell kildee pepper dixon kindness perkins donnelly klecaka petri dorgan kolter pickle dowdy kostmayer porter downey kramer price dreier lafalce pursell duncan lagomarsino quillen durbin lantos rahall dwyer latta range) dymally leach ratchford dyson leath ray eckart lehman (ca) regula edgar lehman (fl) reid edwards (al) leland richardson edwards (ca) lent ridge edwards (ok) levin ritter emerson levine roberts english levitas robinson erdreich lewis (ca) rodino erlenborn lewis (fl) roe evans (ia) lipinski roemer evans (il) livingston rogers pascell lloyd rose fazio loeffler roth felghan long (la) roukema fiedler long (md) rowland fields lott r roybal fish lowery (ca) russo florio lowry (wa) sabo foglietta lujan savage foley luken sawyer ford (mi) lundine schaefer ford (tn) lungren scheuer fowler mack schneider frank mackay schroeder franklin madigan schulze frenzel markey schumer frost marlence selberling fuqua martin (il) sensenbrenner garcia martin (nc) shannon gaydos martin (ny) sharp gejdenson martinez shelby gekas matsui shumway gephardt mavroules shuster gibbons mazzoli sikorski gilman mccain siljander gingrich mccandless sisisky glickman mccloskey skeen gonzalez mccollum skelton goodling mccurdy slattery gore mcdade smith (fl) gradison mcewen smith (ia) gray mcgrath smith (ne) green mchugh smith (nj) gregg mckernan smith."
"310",1985-10-10,"D","GA","gaydosi."
"311",1987-07-28,"D","GA","i move to suspend the rules and pass the bill to settle indian land claims in the town of gay head. 2855 is a bill to settle the land claims of the wampanoag indians in the town of gay head. the tribe would agree to abandon its claim to about 3.400 acres within the town of gay head."
"312",1988-05-12,"D","GA","i have heard colleagues on both sides gay they would like to get away by 4 oclock."
"313",1989-03-21,"R","GA","gaydos. with the help of chairman gaydos and chairman annunzio of the subcommittee and the full committee."
"314",1990-02-27,"D","GA","hilda gay legg."
"315",1992-09-18,"D","GA","gay."
"316",1993-02-04,"R","GA","we ha talked about gays in the military."
"317",1993-03-18,"D","GA","excluding gays and lesbians from service in the .armed forces."
"318",1993-05-27,"D","GA","i would like to address tonight the proposal put forth recently by representative barney frank concerning the service of gay men and lesbians in the armed forces. so i may not be under the correct impression on all of ithe would not allow gay men and lesbians to openly declare their sexual orientation on military bases. members of the armed forces could not state that they are gay or lesbian. this does not mean acceptance of a stereotypical view that every gay or lesbian person is a predator or is attracted to every member of the same sex. announces on ""nightline"" that he is gay. mentions to some of his fellow ncos that he is gay. the president seems tobe saying that openly gay men and lesbians should be allowed to serve in the military. representative franks proposal recognizes the concern that open homosexuality is incompatible with military service by recognizing gay men and lesbians should not express their sexual orientation on duty and on base. i have heard concerns expressed that soldiers can or will be punished for activities such as visiting a gay bar. reading a gay magazine. or participating in a gay rights parade. the possession of gay literature or participating in a gay rights march do not constitute military offenses. such as presence at gay bars. possession of literature related to gay or lesbian matters. or attendance at gay rights activities."
"319",1993-07-16,"D","GA","the media is filled with accounts as to what may or may not be happening in the white house and pentagon and the executive branch with respect to the issue of the restrictions on the service of gay men and lesbians in the armed forces. which basically retained the longstanding restrictions on the service of gays and lesbians while eliminating questions on sexual orentation from the enlistment application. i am hopeful t hat the clinton administratlon will issue a peliqy on this subject of gays and lesbians in the miiitary i can eiprt. the federal courts on many different levels have ruled on sumerous occasions that restrictios om tme serace of taymen and lesbians."
"320",1993-09-09,"D","GA","senator boxer from california will be recognized to offer an amendment concerning the issue of gay men and lesbians in the armed forces. has been a forceful and articulate advocate of the proposition that gay men and lesbians should be permitted to serve in the armed forces. does not directly overturn the restrictions on gays and lesbians serving in the military. the service of gays and lesbians. he would take action to change the current policy restricting the service of gay men and lesbians serving in the armed forces. the senate also agreed to an order that effectively precluded consideration of any further amendments in the senate relating to the service of gay men and lesbians in the armed forces until july 15. the committee recognized that the question of whether changes should be made in the restrictions on the service of gay men and lesbians in the armed forces generated intense feelings in the congress. including those of former and current service members who have publicly identified themselves as gays or lesbians. senator kerry along with others testified forcefully in favor of lifting the restrictions on the service of gays and lesbians in the armed forces. the committee notes that some individuals may view themselves as ""homosexual."" ""gay."" or ""lesbian"" based upon intentions that are never acted upon. the committee notes that not every gay or lesbian person will find- every person of the same sex to be sexually attractive. to develop military personnel policies on the basis that all gays and lesbians will remain celibate or that they will not be sexually attracted to others. there is no doubt about the fact that there are men and women who are gay and lesbian who have served with distinction."
"321",1993-09-13,"D","GA","a statement by a servicemember that he or she is a homosexual or bisexual creates a rebuttable presumption that the servicesmember is engaging in homosexual acts or has a propensity or intent to do so. contains a very clear statement condemning harassment or mistreatment of persons who are gay or lesbian."
"322",1993-09-28,"D","GA","gays andlsbian americanasaretclati zons like."
"323",1993-11-18,"D","GA","gay is an abortion provider in the atlanta area. gay and his staff must again endure mobs stalking the clinic. gay."
"324",1994-05-25,"D","GA","if a gay person wants to serve his or her country in the military."
"325",1994-06-22,"R","GA","for gay rights activists to be publicly in public life and to be at the democratic national convention and to speak."
"326",1994-06-28,"R","GA","i think it is fair to gay that this is."
"327",1996-03-15,"R","GA","gerald gay. professor gay."
"328",1996-07-11,"D","GA","it denies gay men and women the right to liberty and the pursuit of happiness."
"329",1996-07-12,"D","GA","are we targeting gays and lesbians."
"330",1996-09-06,"R","GA","bisexuality. bisexuality. griggs with discrimination and sexual harassment under seattles gay rights law even though mr."
"331",1998-02-05,"D","GA","the harringay arena in london."
"332",2001-12-05,"D","GA","we are gay and we are straight."
"333",2004-07-12,"R","GA","which would have banned the federal recognition of gay marriage and samesex partners. he said he might eventually support gay marriage if it became publicly acceptable. i am against the presidents constitutional amendment on banning gay marriage."
"334",2004-07-22,"D","GA","today it is gay marriage."
"335",2004-09-30,"D","GA","today it is gay marriage."
"336",2004-09-30,"R","GA","it would prevent the judicial chaos we are beginning to see with recent rulings whereas gay couples are suing in states that do not recognize same sex marriage."
"337",2005-06-23,"R","GA","specialist chrystal gaye stout 84."
"338",2005-10-20,"R","GA","cora gay. gay was a devoted wife and mother who touched many lives with her positive and compassionate personality. quincy gay. gay graduated from albany state university in 1948 with a degree in elementary education."
"339",2005-10-26,"R","GA","just gays one thing."
"340",2006-07-18,"D","GA","today it is gay marriage."
"341",2006-07-18,"R","GA","it means that men and women who happen to be gay are able to enjoy the same rights. what do the supporters of this bill say to the gay couples in massachusetts who are- now legally married. we will hear protests from the other side today that they have no problem with gay people. yet here they are arguing that gay people do not deserve the same rights as everybody else. the republican leadership will find a place on the agenda for gaybashing. opponents have gathered 170.000 signatures supporting a constitutional amendment they hope would end gay marriage. i think it is a good thing that american citizens who happen to be gay are accorded more tolerance and respect today than was the case 50 years ago."
"342",2006-07-19,"R","GA","you are quoted as saying yesterday in the discussion with reference to banning gay marriage. that gay marriage."
"343",2007-04-18,"D","GA","should have that opportunity to weigh in and have a gay on the compensation- packages."
"344",2007-05-03,"D","GA","sexual orientation or transgender will not be tolerated. it doesnt matter whether were gay or straight."
"345",2007-11-07,"D","GA","-i for one fought too long and too hard to end discrimination based on race andcolor not to stand up against discrimination against our gay and lesbian brothers and sisters. to discriminate against someone because they are gay is wrong."
"346",2007-11-07,"R","GA","christian bookstores and even religious daycare providers will be forced to either hire a homosexual or transgender individual or face prosecution."
"347",2010-12-18,"R","GA","this has nothing to do with the valiant service that gays and lesbians have provided to the united states of america."
"348",2011-12-20,"D","GA","or the neighbor over there is gay."
"349",2012-05-16,"D","GA","lgbt victims are excluded also."
"350",2012-05-30,"D","GA","they have divided people on the issue of gays living in america."
"351",2013-02-28,"D","GA","ignoring evidence that domestic and sexual violence also affects lgbt victims at equal or greater levels than the rest of the population."
"352",2014-01-28,"D","GA","is more antigay."
"353",2014-03-26,"R","GA","to marilyn gayton."
"354",2014-06-10,"R","GA","his wife gay. to his wife gay."
"355",2016-04-28,"R","GA","lauren gaydos."
"356",2016-09-08,"R","GA","gus bell and his 50 years of service to the hussey gay bell firm. he then led hussey gay bells expansion to international clients."
"357",1981-01-22,"R","ID","gaylord nelson."
"358",1981-11-10,"R","ID","that the end result of everything is to make life better and gayer for everyone."" in the same year fidel castro took the unprecedented step of granting burchett a cuban passport."
"359",1983-04-26,"R","ID","his slot in the politburo was filled by gaydar a. and the new politburo member gaydar a. the nationwide campaign on the implementation of higher standards of discipline in industry and agriculture was begun by a conference in moscow presided over by gaydar aliyev and attended by v."
"360",1983-11-18,"R","ID","signed by gay."
"361",1989-09-12,"R","ID","i would imagine even the soviets would wonder at some of the things that we do with our gay* ernment lands."
"362",1991-07-17,"R","ID","gay rights."
"363",1993-02-18,"R","ID","this amendment is not gay bashing."
"364",1998-05-07,"R","ID","isaac gayfield set many idaho state university track records."
"365",2004-01-27,"R","ID","such commitment embodies ""the spirit of idaho."" ""grandma"" gay reese plays an important role for the ""america reads"" program every day at lincoln elementary school in twin falls. gays remarkable dedication has helped to instill a lifelong love of reading within several hundred magic valley children."
"366",2007-12-06,"R","ID","they gay it will improve tax compliance by approximately $7 billion over 5 years."
"367",2008-09-10,"R","ID","and other occupations as idaho civilians..bg alay gayhart."
"368",2008-09-11,"R","ID","according to bg alan gayhart."
"369",2011-03-09,"R","ID","brown & gay engineers."
"370",1982-08-04,"D","IN","gaydos."
"371",1982-09-09,"R","IN","janet gaynor."
"372",1982-12-20,"R","IN","the national gaydures outlined in the bill would help accel- ernors association had to say on the matter erate the licensing of new storage capacity of two house override: or expansion."
"373",1983-10-04,"R","IN","gayd~os."
"374",1984-05-17,"R","IN","or whether the .155 shells that are old and nonbinary are adequate."
"375",1987-02-25,"R","IN","last week i took a special of the national gay and lesbian task order. director of the the special order that i took last week national coalition of black lesbians and involved a report from the research. gays."
"376",1987-03-05,"R","IN","among the gay or homosexual community involving another veneral disease that was running rampant throughout that community."
"377",1987-05-11,"R","IN","in the gay community the figures range anywhere from 40 percent .up to 70 percent of the population in various cities of this country."
"378",1987-09-30,"D","IN","chairman steel caucus executive committ joseph gaydos."
"379",1987-10-15,"R","IN","gay males and iv drug users primarily."
"380",1987-10-31,"D","IN","ben nlghthorse (colo).......) 1724 gaydos."
"381",1988-03-09,"R","IN","that being involved with the drug culture or being a homosexual or bisexual person. no homosexual or bisexual contact fron 1977 on. this will comfort those who use the absence of a great leap in the percentage of aids caies occurring among nondrugusing heterosexuals as ""proof"" that the virus is still contained largely in the homosexual/bisexual/ drugusing communities. males with bisexual experiences and people who have had large numbers of sexual partners are especially risky as sex partners until it can be shown by testing that they are free of hiv infection. the immense size of the pool of uninfected but potentially atrisk heterosexuals is so much larger than the pool of homosexual and bisexual men that if no way of containing the rate of spread in the general population is found."
"382",1989-10-02,"R","IN","because i think everybody in the congress and in the country ought to know about what we are up against: ""since the aids epidemic has seriously eroded public sympathy for the gayrights agenda. public accommodations and public services."" that is a quote from the national gay rights platform. the gay community news."
"383",1990-03-01,"R","IN","but if you are willing to accept someone who has expressed a gay preference."
"384",1990-08-04,"R","IN","ednan agayev."
"385",1991-03-07,"D","IN","montroagay."
"386",1991-06-05,"R","IN","it is no longer just a gay disease."
"387",1991-07-15,"D","IN","gaylord butterfly prairie: providing a habitat unlike any other in either the national lakeshore or the indiana state park system. while the gaylord butterfly parcel is proposed for inclusion in the national lakeshore."
"388",1992-01-30,"R","IN","xrated previews of gay films."
"389",1992-06-23,"R","IN","cobl coleman (mo) coleman (tx) collins (il) collins (mi) combest condit conyers cooper costello counghln cox (ca) coyne cramer cunningham daunemeyer darden davis de ia gama defaulo delauro delay dellums derrick dickinson dicks dingell dixon donnelly dooley dorgan (nd) dormn (ca) downey durbin dwyer dymally early eckart edwards (ca) edwards (tx) emerson engel english erdreich emp evans ewing fascen pa ho feighan fish flake fogietsa ford (mi) ford (tn) frank (ma) franke (an frot gallegly gallo gaydoe goldeson okas gephardt ogen gibbons otlchrest olllo~r oilman gingrich glickman gonzalez goodning gordon gradian grandy green guarini gunderson hall (oh) hall (tx) hamilton hammerschmidt hansen harrits hastert hatcher hayes (il) hayes (la) hefley herger hertel hoagland hobson hochbrueckner holloway hopkins horn norton houghton hoyer hubbard huckaby hughes i am."
"390",1992-07-02,"R","IN","we have commended the strong work of president yeltsin and prime minister gaydar."
"391",1992-07-29,"R","IN","gaylord butterfly prairie."
"392",1992-07-30,"R","IN","particularly by gay and lesbian couples."
"393",1992-10-01,"R","IN","the main subplot of fox networks ""key west"" features the towns gay mayor as the hero who is hounded by rightwing fanatics. it began airing on the ptv satellite on june 25 to coincide with gay and lesbian pride week."
"394",1993-01-26,"R","IN","on the issue of gays in the military. i am convinced that if president clinton reverses current policy regarding gays in the military."
"395",1993-02-02,"R","IN","i wish that i could stand here and offer unanimous consent to have the gays in the military issue dealt with on its merits as a single issue with full debate. will once again request an opportunity to separate the gays in the military issue from parental leave so that we can deal with each on its own merits so that the american public knows where each of us stands on each issue without clouding the matter or murkying up the matter so that for whatever reason people may say: well."
"396",1993-03-03,"R","IN","who is openly gay and chairs the committee that oversees the coast guard. said studdss call to kime also was meant to alert him that a coast guard electronic message system was being used to organize opposition to president clintons lifting of the militarys gay ban."
"397",1993-03-31,"R","IN","and then you want to throw gays in the military on top of them."
"398",1993-06-10,"R","IN","how is a commander to view or deal with a serviceman who attends a gay church or a gay bar. marches in a gay parade. or reads gay material on base?"
"399",1993-06-22,"R","IN","it is foolish to think that gays will not be attracted to men sometime. the only way that was once suggested was simply to create an allgay barracks and an alllesbian barracks and then we would have an allheterosexual womens barracks and an allheterosexual mens barracks. an allgay barracks. an allgay ship or an allgay motor unit or whateverwould only exacerbate the problem."
"400",1993-08-02,"R","IN","at the recommendation of his own task force on gay. lesbian and bisexual issues dr. payzant at that hearing affirmed that the program that the boy scouts were bringing to the san diego public schools in no way discriminated against homosexuals or promoted any type of antigay agenda. neither the learning for life program nor the inschool scouting program contains any discussions relating to gay rights issues. payzant administrative decisions and views on such issues as gay rights and the boy scouts indicate that he is a very dangerous man for american parents who believe schools should be involved in education instead of social engineering. payzant formed a task force ""to look at issues that were of concern to members of the gay and lesbian community in san diego.""--school board meeting. the group included members from radical homosexual groups such as parents and friends of lesbians and gays (pflag] and the lesbian and gay mens community center. payzant then stretched the new policy barring discrimination against homosexual employees and students to apply to private organizations that work with the public schools in order to advance another recommendation of his gay and lesbian friends. payzant effectively promoted the gay rights agenda at the expense of the education of innercity youth. project 10 is a radicalhomosexual group which endorse progay material like that of the infamous rainbow curriculum in new york city under then superintendent joe fernandez. payzant again showed his activist leanings for the gay rights agenda. but as we get the opportunity to provide more help and support for gay and lesbian students well do that.""-san diego human relations commission."
"401",1993-09-09,"R","IN","gay or lesbian based upon thoughts that never ripen into propensity or intent to engage in homosexual acts. advocates of gay rights have expressly linked sexual orientation to conduct. these are statements coming from advocates of gay rights who admit and who even advocate the link between sexual orientation and conduct. the lambda legal defense and education fund took the position: for gay people. sodomy laws impose an added burden on gay people. gay individuals. gay. or lesbian. but i think it would be irrational to develop military personnel policies on the basis that all gays and all lesbians will remain celibate or that they will not be attracted to others."
"402",1993-09-28,"R","IN","selfidentification -as a homosexual or 0 1410 bisexual. garding gay and lesbian americans in the reason is clear. the to the president asking him to end the message seems to be ""you can come on ban on gays and lesbians in the miliin."
"403",1993-09-29,"R","IN","president clinton came to us claiming two things: he would lift the ban on gays in the military. the will of the american people through the congress has spoken: the house yesterday moved off of the senate initiatives and codified the ban on gays in the military into law."
"404",1993-11-20,"R","IN","trying to put gays into the military."
"405",1993-11-22,"R","IN","trying to put gays in the military."
"406",1994-07-29,"R","IN","of this predicament lance gay writes in the washington times of today."
"407",1994-09-20,"R","IN","from the gay and lesbian education commission. they have a gay and lesbian education commission out there demanding that there be education for gays and lesbians in the schools. ii we will observe the rights of gays and prayer are. lesbians in our schools."
"408",1995-02-15,"D","IN","title vi of the bill gays that we want to expand nato to the czech republic."
"409",1995-04-05,"R","IN","governing military matters states that a member of the armed forces shall be separated from the armed forces if it is appropriately determined: (2) that the member has stated that he or she is a homosexual or bisexual. and includes the terms ""gay"" and ""lesbian."" on thursday of last week. these six individuals originally filed the suit anonymousl3y and only stated that they were gay."
"410",1995-07-31,"R","IN","bisexual and homosexual."
"411",1995-11-01,"R","IN","it says: this summer the nea annual convention passed a resolution supporting a monthlong celebration ""as a means of acknowledging the contributions of lesbians. gays and bisexuals throughout history."" the celebration was the brain child of rodney wilson. a gay high school teacher from st. was for public high schools to focus on a gay curriculum detailing the history of homosexual persecution and acknowledging the homosexuality of some historical figures. ""the fact book of the lesbian and gay community."" claims some research indicates that jesus christ. ""not a single school district in the nation accepted the .history month idea or a proposed gay curriculum. even the nea has gotten skittish after hundreds of teachers threatened to quit when the resolution passed in july."" the concerned women organization was right to target the nea action and any move to promote a gay history month. still others may rise today and say i am .only disparaging gays and lesbians to satisfy a personal mean streak or to win political points at home with certain groups."
"412",1996-03-27,"R","IN","and you rebelled against the federal government and you gaye speeches about how washington ought to stop meddling in farming."
"413",1996-09-10,"R","IN","this is an issue about gay rights in the workplace."
"414",1997-02-26,"R","IN","i want to briefly address an item that was in the news this morning titled ""new study faults pentagons gay policy."" this morning the new york times reported that with great alarm. it is really important for us to stand back and review where we are today following the debate that we had on gays in the military in 1994."
"415",1997-07-25,"R","IN","after admitted pressure from the gay rights lobby. i quote from the washington post article which said: after protests from gay rights groups. and again i quote: it would be irrational to develop military personnel policies on the basis that all gays and lesbians will remain celibate or that they will not be sexually attracted to others."
"416",1997-10-08,"R","IN","i saw him at a gay bar one time."
"417",1998-09-28,"R","IN","cause life is queer with its twists and turns."
"418",2000-09-28,"R","IN","showed that they got $100.000 over a 3year period for pornographic films such as ""sex fish."" ""watermelon -woman."" and ""blood sisters."" they depict explicit lesbian pornography and oral sex. which staged the ""my queer body"" play."
"419",2000-10-02,"R","IN","such as ""my queer body."" where a man describes what it is like on stage to have sex with another man."
"420",2004-02-24,"R","IN","bush brought moral clarity to the debate by calling for this amendment banning gay marriage."
"421",2004-04-05,"D","IN","gayle evelyn baugh."
"422",2004-07-22,"R","IN","a lesbian couple who had been married in massachusetts. the attorney for the lesbian couple that wishes to demand an overturn of the defense of marriage act said this."
"423",2004-09-29,"R","IN","have laid the foundation to recognize gay marriage by a narrow majority of the supreme court."
"424",2006-02-01,"D","IN","from her work with nelson mandela and in the struggle for civil rights to her work on behalf of the gay and lesbian community she was always willing to stand with those who were defending their right to live a life of freedom."
"425",2006-03-09,"R","IN","gay men and barebacking."
"426",2006-12-05,"R","IN","his service in the navy took him to lingayen gulf."
"427",2007-01-09,"D","IN","if i could gay one other thing to the american people."
"428",2007-10-04,"D","IN","the world will little note nor long remember what we gay here."
"429",2007-11-06,"D","IN","paige gaydos."
"430",2007-11-07,"R","IN","a man was fired at red cross for not participating in gay and lesbian pride month and forcing him to observe that. we have had some debate on this gender equity for transgender and transvestite. not have a vote on transgender. a gay editor of the new republic. if we were having a situation in america where gays. enda will prevent employers from firing a perfectly qualified gay. lesbian or bisexual employee just because of that employees sexual orientation. a bill that was intended to protect gay people into other areas. this amendment both would protect transgender in the sense of people who have had sex change operations. they can go out and tell the transgender community. and those state laws would further protect against pretextual discrimination against gay and lesbian americans."
"431",2009-04-29,"R","IN","which is a gay pride festival."
"432",2010-12-15,"R","IN","so lets do gays in the military and lets jam everything imaginable you can."
"433",2013-09-19,"R","IN","gayle."
"434",2014-05-20,"R","IN","it is still led by assistant united states attorney gayle helart and indiana deputy attorney general abby kuzma."
"435",2015-04-14,"D","IN","which declares that gay. lesbian. and transgendered people should be protected from discrimination under the law. to refuse to sell or rent a home or to turn someone away from your business just because they are gay. lesbian. bisexual. or transgender."
"436",2016-06-15,"D","IN","with the lgbt community."
"437",1981-10-28,"D","KS","william forsythe damours fountain danielson fowler denardis frank derwinski frenzel dicks frost dingell garcia dixon gaydos donnelly gejdcnson dowdy - gephardt downey gibbons dreier gilman dunn glickmnan dwyer gore."
"438",1985-06-27,"R","KS","greg gay. gay had a series of telephone conversations with the attorney in question during the course of responding to a constituent inquiry to senator hawkins office. gays appearance would. gay has no notes or other written records about the conversations."
"439",1985-07-09,"R","KS","gay."
"440",1986-04-24,"R","KS","attorney for the district of maine has obtained a subpoena for the testimony of gayle cory."
"441",1986-10-18,"R","KS","the gay head."
"442",1992-06-12,"R","KS","new shows such as ""in the life."" a 1hour ""variety show"" for gays and lesbians. it is like an ""ed sullivan show"" for gays. and masterpiece theater."" laying down their quality smokescreen while they shovel out funding for gay and lesbian variety shows."
"443",1993-02-03,"R","KS","and gays in the military."
"444",1993-02-04,"R","KS","president clintons determination to lift the ban on homosexuals in the military has whipped up a fire storm of outrageand that is an ""understatement."" calls to my offices are running 10to1 against bill clintons mission to ""open the barracks"" to gays. outside of gay activist groups. and just about every veterans group when they tell us that gays in the military will compromise esprit de corps and discipline. and no one is very comfortable discussing the ""gay issue."" but we must. and i condemn violence against gays. and the service chiefs state that dropping the ban on gays will destroy unit cohesion and morale. norman schwarzkopf say that gays in the barracks will cause a breakdown in order. when i get a call front a sergeant in kansas saying she will quit the army if gays are welcomed into the force. there is one person who is not an expert who doesnt want a ""time out."" he has decided that the policy on gays must be. bill clintons first major initiative since taking the oath of office has to be opening the barracks to gays. will gay spouses be entitled to taxpayerfunded health care beneflts. gay marriages: military chaplains are concerned. they may be required to marry gay couples in military chapels. these are not the gay activists. whether we ought to relax rules on gays in the military? and they tell us that gays in the military will compromise esprit de corps and discipline. so nobody is very comfortable in discussing this gay issue. so when i hear general powell and the service chiefs state that dropping the ban on gays will destroy unit cohesion and morale. when i get a call from the sergeant in kansas who says she will quit the army if gays are welcomed into the force. will gay spouses be entitled to taxpayerfunded benefits. military chaplains have complain to us that they are concerned they may be required to marry gay couples in military chapels. if you want gays in the military."
"445",1993-02-16,"R","KS","i receivedlike many senatorsthousands of calls on zoe baird and on the presidents effort to eliminate gays in the military."
"446",1993-02-17,"R","KS","this is not a gay issue. it is a communicable disease that is not confined to the intravenous drug user or the gay population. not gay bashing."
"447",1993-05-24,"R","KS","we must show respect and tolerance for those among us who happen to be gay. this nomination is complicated by the emotional issues raised by a nominee who is candidly and unapologetically lesbian. i do not believe that the simple fact that someone is gay or lesbian is an automatic disqualification for public office. the question i come down to is whether the nominees strong advocacy of gay and lesbian rights raises legitimate concerns about her ability to be a fair and impartial public official."
"448",1993-07-01,"R","KS","answers to jane duke gaylor in el dorado."
"449",1993-09-09,"R","KS","granting the president the authority to lift the ban against gays serving openly in our military would strike a serious blow to the effectiveness of our fighting forces and would damage the morale of our military."
"450",1994-01-27,"R","KS","lets finally have an answer for jane duke gaylor in el dorado."
"451",1994-09-19,"R","KS","i rise today to submit a senseofthe senate resolution related to the national air and space museums upeoming exhibit involving the enola gay. the enola gay is the plane that carried the atomic bomb to hiroshima in august 1945. the enola gay represents a significant piece of our nations history. i wrote to the director of the smithsonian institution and informed him that if the national air and space museum could not display the enola gay in a manner that veterans would not find offensive. the role of the enola gay was momentous in helping bring world war ii to a merciful close."
"452",1995-07-26,"R","KS","i am gay. ""the fact that you are gay does not make you any less of a human being."
"453",1995-08-11,"R","KS","i further ask unanimous consent that no other amendments regarding land mines or gays in the military be in order unless cleared by unanimous consent."
"454",1996-10-02,"R","KS","gayle shaw."
"455",2002-06-13,"R","KS","whether it is asexual reproduction or human reproduction."
"456",2002-09-24,"R","KS","some of you may recognize that he used to sing with marvin gaye."
"457",2004-07-12,"R","KS","in & letter released just last thursday addressed to ""parliaments around the world debating the issue of samesex marriage."" a group of dutch scholars raised concerns about gay marriages negative effects on the institution of marriage in the netherlands. the decision to legalize gay marriage. van loon believes that gay marriage has contributed to a decline in the reputation of dutch marriage. its ""difficult to imagine"" that the dutch campaign for gay marriage did nothave ""serious social consequences."" said van loon."
"458",2004-07-13,"R","KS","said that ""the reputation of marriage as an institutionin hollandis in serious decline."" the decision to legalize gay marriage. believes gay marriage has contributed to a decline in the reputation of dutch marriage. it is ""difficult to imagine"" that the dutch campaign for gay marriage did not have ""serious social consequences."" said van loon."
"459",2006-05-09,"R","KS","this is what professor thompson gays: so you are trying to define it away and it doesnt work."
"460",2006-06-05,"R","KS","where gay marriage finds acceptance. they were raising concerns about gay marriages and the negative effect on the institution of marriage in the netherlands. he believes that gay marriage has contributed to the decline in the reputation of dutch marriage. it is ""difficult to imagine"" that the dutch campaign for gay marriage did not have serious social consbquences."
"461",2008-05-20,"R","KS","culminating in a gala at the gaylord hotel in the dc area here on the evening of may 31."
"462",2010-03-11,"R","KS","gay marriage."
"463",2011-07-07,"R","KS","this amendment i offer will prohibit the enforcement of the directive of allowing chaplains to perform samesex marriages on navy bases regardless of whatever a states law is on gay marriage."
"464",2013-05-23,"R","KS","gayle and mary jo. our sympathies to his two daughters gayle and mary jo and to his grandchildren abby."
"465",1981-01-15,"D","KY","gaylord nelson."
"466",1981-05-06,"D","KY","the remarks were made by gay."
"467",1981-09-15,"D","KY","2438 gaydos."
"468",1981-10-21,"D","KY","a group of the lawyers forced the gayerment to go through an environmental impact statement procedure because of the sewage that would be produced by the camp."
"469",1982-06-29,"D","KY","gaylord nelson."
"470",1982-09-30,"D","KY","we need to review the gayassistance."
"471",1983-10-31,"D","KY","noel gayler."
"472",1985-07-23,"R","KY","hartnett michel heftel miller (ohl) hendon molinari hiler mollohan hillis monson hopkins montgomery hubbard moore hunter moorhead hutto morrison (wa) hyde myers ireland nichols jacobs nielson johnson obrien kasich oxley kemp packard kindness parris kramer pashayan lagomarsino porter latta price leath (tx) quillen lewis (ca) ray lewis (fl) ritter lightfoot roberts livingston rogers lloyd roth loeffler rowland (ct) lott rudd lowery (ca) schaefer noes257 ackerman dellums addabbo derrick akaka dewine alexander dicks anderson dingell andrews dixon annunzio donnelly anthony dorgan (nd) applegate dowdy aspin durbin atkins dwyer aucoin dymally barnard dyson barnes early bates eckart (oh) bedell edgar beilenson edwards (ca) bennett erdreich berman evans (il) bevill fascell biaggi fazio boehlert feighan boggs fish boland flippo boner (tn) florio bonker foglietta borski foley bosco ford (mi) boucher ford (tn) boxer fowler breaux frank brooks frost broomfield fuqua brown (ca) garcia bruce gaydos bryant gejdenson burton (ca) gephardt bustamante gibbons byron gilman carney glickman carper gonzalez carr gordon chandler gray (pa) clay green coleman (tx) gregg collins guarini conte hall (oh) conyers hamilton cooper hawkins coughlin hayes coyne henry crane hertel crockett holt darden horton daschle howard davis hoyer schuette schulze shelby shumway shuster siljander slsisky skeen slaughter smith (ne) smith (nh) smith."
"473",1987-04-08,"R","KY","where we waived the budget on everything from the formation of the compact of free association to the gay headwampanoag claims settlement act. ranging from the compact of free association to things such as the gay headwampanoag claims settlement act."
"474",1987-06-16,"R","KY","but gayle prye."
"475",1988-03-31,"D","KY","shawnee gay hill."
"476",1988-08-10,"D","KY","his pretty and talented wife laura and their three outstanding childrenrose gayle. rose gayle waterfield hardy."
"477",1989-05-18,"R","KY","gayle walters warren."
